House,Girls,School,Work,MSB,School/Work Commute,Total Drive Time
742 Pointe Dr,"=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""19 min"")","=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/2600+South+River+Rd+Des+Plaines+IL"",""46 min"")","=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/39+E+Main+St+Carpentersville+IL"",""16 min"")","=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""57 min"")",2 hr 46 min
3829 Eastway Dr,"=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""14 min"")","=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""27 min"")","=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/2600+South+River+Rd+Des+Plaines+IL"",""48 min"")","=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/39+E+Main+St+Carpentersville+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""56 min"")",2 hr 53 min
2308 Dawson Ln,"=HYPERLINK(""https://www.google.com/maps/dir/2308+Dawson+Ln+Algonquin+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""25 min"")","=HYPERLINK(""https://www.google.com/maps/dir/2308+Dawson+Ln+Algonquin+IL/40+E+Dundee+Rd+Barrington+IL"",""25 min"")","=HYPERLINK(""https://www.google.com/maps/dir/2308+Dawson+Ln+Algonquin+IL/2600+South+River+Rd+Des+Plaines+IL"",""40 min"")","=HYPERLINK(""https://www.google.com/maps/dir/2308+Dawson+Ln+Algonquin+IL/39+E+Main+St+Carpentersville+IL"",""13 min"")","=HYPERLINK(""https://www.google.com/maps/dir/2308+Dawson+Ln+Algonquin+IL/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""54 min"")",2 hr 37 min
649 Cary Woods Cir,"=HYPERLINK(""https://www.google.com/maps/dir/649+Cary+Woods+Cir+Cary+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""12 min"")","=HYPERLINK(""https://www.google.com/maps/dir/649+Cary+Woods+Cir+Cary+IL/40+E+Dundee+Rd+Barrington+IL"",""23 min"")","=HYPERLINK(""https://www.google.com/maps/dir/649+Cary+Woods+Cir+Cary+IL/2600+South+River+Rd+Des+Plaines+IL"",""45 min"")","=HYPERLINK(""https://www.google.com/maps/dir/649+Cary+Woods+Cir+Cary+IL/39+E+Main+St+Carpentersville+IL"",""19 min"")","=HYPERLINK(""https://www.google.com/maps/dir/649+Cary+Woods+Cir+Cary+IL/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""52 min"")",2 hr 31 min
195 Tollview Ter,"=HYPERLINK(""https://www.google.com/maps/dir/195+Tollview+Ter+Gilberts+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""32 min"")","=HYPERLINK(""https://www.google.com/maps/dir/195+Tollview+Ter+Gilberts+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/195+Tollview+Ter+Gilberts+IL/2600+South+River+Rd+Des+Plaines+IL"",""35 min"")","=HYPERLINK(""https://www.google.com/maps/dir/195+Tollview+Ter+Gilberts+IL/39+E+Main+St+Carpentersville+IL"",""12 min"")","=HYPERLINK(""https://www.google.com/maps/dir/195+Tollview+Ter+Gilberts+IL/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""57 min"")",2 hr 44 min
515 Eichler Dr,"=HYPERLINK(""https://www.google.com/maps/dir/515+Eichler+Dr+West+Dundee+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""25 min"")","=HYPERLINK(""https://www.google.com/maps/dir/515+Eichler+Dr+West+Dundee+IL/40+E+Dundee+Rd+Barrington+IL"",""19 min"")","=HYPERLINK(""https://www.google.com/maps/dir/515+Eichler+Dr+West+Dundee+IL/2600+South+River+Rd+Des+Plaines+IL"",""31 min"")","=HYPERLINK(""https://www.google.com/maps/dir/515+Eichler+Dr+West+Dundee+IL/39+E+Main+St+Carpentersville+IL"",""4 min"")","=HYPERLINK(""https://www.google.com/maps/dir/515+Eichler+Dr+West+Dundee+IL/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""48 min"")",2 hr 7 min
1441 Meadowsedge Ln,"=HYPERLINK(""https://www.google.com/maps/dir/1441+Meadowsedge+Ln+Carpentersville+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/1441+Meadowsedge+Ln+Carpentersville+IL/40+E+Dundee+Rd+Barrington+IL"",""25 min"")","=HYPERLINK(""https://www.google.com/maps/dir/1441+Meadowsedge+Ln+Carpentersville+IL/2600+South+River+Rd+Des+Plaines+IL"",""35 min"")","=HYPERLINK(""https://www.google.com/maps/dir/1441+Meadowsedge+Ln+Carpentersville+IL/39+E+Main+St+Carpentersville+IL"",""9 min"")","=HYPERLINK(""https://www.google.com/maps/dir/1441+Meadowsedge+Ln+Carpentersville+IL/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""54 min"")",2 hr 31 min
45 Golfview Rd,"=HYPERLINK(""https://www.google.com/maps/dir/45+Golfview+Rd+Lake+Zurich+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""8 min"")","=HYPERLINK(""https://www.google.com/maps/dir/45+Golfview+Rd+Lake+Zurich+IL/40+E+Dundee+Rd+Barrington+IL"",""16 min"")","=HYPERLINK(""https://www.google.com/maps/dir/45+Golfview+Rd+Lake+Zurich+IL/2600+South+River+Rd+Des+Plaines+IL"",""37 min"")","=HYPERLINK(""https://www.google.com/maps/dir/45+Golfview+Rd+Lake+Zurich+IL/39+E+Main+St+Carpentersville+IL"",""32 min"")","=HYPERLINK(""https://www.google.com/maps/dir/45+Golfview+Rd+Lake+Zurich+IL/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""45 min"")",2 hr 18 min
